Episode, Steps, Reward, Time (in milliseconds)
276, 441, -70.30000000000032, 1141
277, 441, -56.60000000000053, 1181
278, 441, -44.000000000000355, 1155
279, 441, -61.100000000000506, 1205
280, 441, -44.000000000000355, 1180
281, 441, -44.000000000000355, 1189
282, 441, -49.80000000000035, 1171
283, 441, -44.000000000000355, 1159
284, 441, -44.90000000000037, 1235
285, 441, -44.000000000000355, 1228
286, 441, -44.000000000000355, 1243
287, 441, -44.000000000000355, 1205
288, 441, -44.000000000000355, 1163
289, 441, -73.00000000000033, 1236
290, 441, -47.80000000000035, 1272
291, 441, -47.80000000000035, 1259
292, 441, -61.4000000000004, 1290
293, 441, -44.000000000000355, 1201
294, 441, -44.000000000000355, 1497
295, 441, -44.90000000000037, 1501
296, 441, -44.900000000000354, 1470
297, 441, -44.000000000000355, 1466
298, 441, -46.700000000000365, 1233
299, 441, -55.600000000000435, 1236
300, 441, -44.000000000000355, 1202
301, 441, -44.000000000000355, 1261
302, 441, -44.000000000000355, 1181
303, 441, -44.000000000000355, 1270
304, 441, -44.000000000000355, 1200
305, 441, -44.90000000000037, 1203
306, 441, -48.7000000000004, 1256
307, 441, -44.000000000000355, 1258
308, 441, -44.000000000000355, 1247
309, 441, -46.900000000000354, 1224
310, 441, -44.000000000000355, 1230
311, 441, -45.80000000000035, 1287
312, 441, -47.80000000000039, 1201
313, 441, -45.80000000000038, 1220
314, 441, -44.000000000000355, 1224
315, 441, -44.90000000000037, 1225
316, 441, -44.000000000000355, 1285
317, 441, -44.900000000000354, 1225
318, 441, -44.900000000000354, 1265
319, 441, -44.900000000000354, 1198
320, 441, -63.200000000000486, 1209
321, 441, -44.900000000000354, 1315
322, 441, -44.000000000000355, 1309
323, 441, -44.000000000000355, 1299
324, 441, -47.80000000000035, 1249
325, 441, -45.80000000000035, 1234
326, 441, -73.89999999999984, 1335
327, 441, -44.000000000000355, 1179
328, 441, -45.900000000000354, 1318
329, 441, -49.80000000000046, 1341
330, 441, -44.000000000000355, 1338
331, 441, -44.90000000000037, 1268
332, 441, -44.000000000000355, 1228
333, 441, -44.90000000000037, 1233
334, 441, -44.000000000000355, 1324
335, 441, -44.000000000000355, 1253
336, 441, -44.000000000000355, 1253
337, 441, -44.000000000000355, 1282
338, 441, -44.000000000000355, 1244
339, 441, -49.8000000000004, 1331
340, 441, -44.000000000000355, 1258
341, 441, -44.90000000000037, 1287
342, 441, -44.000000000000355, 1282
343, 441, -44.000000000000355, 1296
344, 441, -44.000000000000355, 1265
345, 441, -44.900000000000354, 1297
346, 441, -45.80000000000038, 1312
347, 441, -55.600000000000456, 1241
348, 441, -44.000000000000355, 1315
349, 441, -128.0999999999993, 1254
350, 441, -44.000000000000355, 1318
351, 441, -46.900000000000354, 1309
352, 441, -44.000000000000355, 1220
353, 441, -44.000000000000355, 1248
354, 441, -64.30000000000037, 1373
355, 441, -51.300000000000395, 1253
356, 441, -44.000000000000355, 1373
357, 441, -44.000000000000355, 1287
358, 441, -54.80000000000039, 1313
359, 441, -61.40000000000051, 1278
360, 441, -44.900000000000354, 1343
361, 441, -44.000000000000355, 1390
362, 441, -49.80000000000035, 1282
363, 441, -46.70000000000039, 1363
364, 441, -44.000000000000355, 1315
365, 441, -44.000000000000355, 1309
366, 441, -44.90000000000037, 1352
367, 441, -44.90000000000037, 1281
368, 441, -50.300000000000345, 1416
369, 441, -132.19999999999976, 1263
370, 441, -44.000000000000355, 1305
371, 441, -44.000000000000355, 1291
372, 441, -44.90000000000037, 1289
373, 441, -55.60000000000035, 1331
374, 441, -44.90000000000037, 1444
375, 441, -46.700000000000365, 1320
376, 441, -44.000000000000355, 1427
377, 441, -44.000000000000355, 1288
378, 441, -44.000000000000355, 1432
379, 441, -44.000000000000355, 1308
380, 441, -44.90000000000037, 1319
381, 441, -44.90000000000037, 1538
382, 441, -44.000000000000355, 1356
383, 441, -44.000000000000355, 1463
384, 441, -45.80000000000035, 1349
385, 441, -44.000000000000355, 1364
386, 441, -44.000000000000355, 1317
387, 441, -44.000000000000355, 1344
388, 441, -44.900000000000354, 1358
389, 441, -44.000000000000355, 1467
390, 441, -44.000000000000355, 1349
391, 170, -18.700000000000003, 1317
392, 441, -44.90000000000037, 1302
393, 441, -48.5000000000004, 1375
394, 441, -44.000000000000355, 1360
